track_id,track_name,track_artist,energy,preview_url
56b6hfYKczrdjPRX2iRAhi,Your Heart,Lynnic,0.665,https://p.scdn.co/mp3-preview/884ec7283e68399237234e82c65fed0648ac2fc4?cid=49789426e6c04428a2befbd3c2d79b02
40H5MGB07FCEmrgHBlmLDU,This Song Is Not About A Girl,Flume,0.668,https://p.scdn.co/mp3-preview/c56bba41c46fb1100fd894692d35d8f4c3cbbc05?cid=49789426e6c04428a2befbd3c2d79b02
32ny2YtiR7zKi7PBjiQ5Iy,Real Talk,Roddy Ricch,0.71,https://p.scdn.co/mp3-preview/e852eb06bd40a53aa0aab97918e12a43cbda915b?cid=49789426e6c04428a2befbd3c2d79b02
6mM8gri8d2abYYomjOV4ut,Stop Breathing,Roddy Ricch,0.689,https://p.scdn.co/mp3-preview/cb150d4e733184c19f29922bf6d921b5eba38776?cid=49789426e6c04428a2befbd3c2d79b02
3d2yowRTcZpQgtkNFmFNiQ,Sphinx,Nora En Pure,0.656,https://p.scdn.co/mp3-preview/1df6befbe01ca9bc89f3a1639a945c2a7f2c59b8?cid=49789426e6c04428a2befbd3c2d79b02
0eiLudweyosA5c7EUJ6y0c,Breathe Me In,Harrison,0.889,https://p.scdn.co/mp3-preview/6a7f9888fb54d705749bb221dfc2bbda9b83d60a?cid=49789426e6c04428a2befbd3c2d79b02
4PnNzWe1LJoAMD5j5RHpI0,DEVASTATED,Joey Bada$$,0.628,https://p.scdn.co/mp3-preview/0c75bb58672a069c467e9df6236dce0f498bb6af?cid=49789426e6c04428a2befbd3c2d79b02
36dH28TepFKh4RelMfRj05,The Break Up Song,The Greg Kihn Band,0.92,https://p.scdn.co/mp3-preview/c9f7fd4f19f0c3002d4ef96cbf0e054cb8a2e6cc?cid=49789426e6c04428a2befbd3c2d79b02
0fEHUeKKmqWd3GGiG7hz0X,Doctor Foo - Smooth Version,Parov Stelar Trio,0.715,https://p.scdn.co/mp3-preview/7fffe07e3bfca2b22ba17e1fedb52711f7291482?cid=49789426e6c04428a2befbd3c2d79b02
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,21 Savage,0.733,https://p.scdn.co/mp3-preview/47a0a844bde0ea1941ecdcfc8f7ddc328afd6d73?cid=49789426e6c04428a2befbd3c2d79b02
6eXKCcEqAU4eJLfDgh8sfG,Get Down Saturday Night,Gorgon Breath,0.791,https://p.scdn.co/mp3-preview/e687181b49caa4019e149a508ee73b7e5a8ecd91?cid=49789426e6c04428a2befbd3c2d79b02
5oO8yNsKx8uoXT6u8HvCzY,Eleven,La Rochelle Band,0.855,https://p.scdn.co/mp3-preview/3bf0f52e8def816a7fd917aad01ce8e0a4146566?cid=49789426e6c04428a2befbd3c2d79b02
5u2chFalnZgdgN8K3YKxI0,Yeah Yeah Yeah,Kognitif,0.87,https://p.scdn.co/mp3-preview/08dae2d53b22880de206da1a487def0a4509f68e?cid=49789426e6c04428a2befbd3c2d79b02
3VvBPkc24zC7x05mgJTyGO,Monody (feat. Laura Brehm),TheFatRat,0.69,https://p.scdn.co/mp3-preview/25b902df4aa6f5a95ef5f4a31795b9c13c434816?cid=49789426e6c04428a2befbd3c2d79b02
3sMleqdCDalZ6xsAQe8xuY,Booty Swing,Parov Stelar,0.669,https://p.scdn.co/mp3-preview/f4c1cbc93c3d85bc1da56d244d839195998301e2?cid=49789426e6c04428a2befbd3c2d79b02
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,0.654,https://p.scdn.co/mp3-preview/0f6b8a3524ec410020457da4cdd7717f9addce2f?cid=49789426e6c04428a2befbd3c2d79b02
2C0hJUVjp7FSchyhYiceJq,Home Sweet Home,Mötley Crüe,0.777,https://p.scdn.co/mp3-preview/05a15f22954f2fe288c4ebec4279a60df2f23959?cid=49789426e6c04428a2befbd3c2d79b02
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,0.806,https://p.scdn.co/mp3-preview/06f8cc47c72dae9e9a66081b4dc912e9d9b430a9?cid=49789426e6c04428a2befbd3c2d79b02
0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Carrie Underwood,0.749,https://p.scdn.co/mp3-preview/8dcbc4c73d9300b77c0df17c47cee1c54c07ab77?cid=49789426e6c04428a2befbd3c2d79b02
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,Mike Posner,0.82,https://p.scdn.co/mp3-preview/649f480a624454b97a73e354568fcfb9214fdd46?cid=49789426e6c04428a2befbd3c2d79b02
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,0.882,https://p.scdn.co/mp3-preview/d33396175c666bd21031d96270b4cd015b6f5713?cid=49789426e6c04428a2befbd3c2d79b02
