track_id,track_name,track_artist,acousticness,preview_url
4qetR2UUyBeUrJ9DbYrpVQ,Stop It,FISHER,0.024,https://p.scdn.co/mp3-preview/aed1683cbfb6101617a0a73d66318acc735111cb?cid=49789426e6c04428a2befbd3c2d79b02
2cSdAkzAf2T4j4aLvx4LLz,Baby Girl,Disco Lines,0.0921,https://p.scdn.co/mp3-preview/4a22b4616e39db215d486cad76339861da696658?cid=49789426e6c04428a2befbd3c2d79b02
6mM8gri8d2abYYomjOV4ut,Stop Breathing,Roddy Ricch,0.0434,https://p.scdn.co/mp3-preview/cb150d4e733184c19f29922bf6d921b5eba38776?cid=49789426e6c04428a2befbd3c2d79b02
6rI8uFFmGyvS2N6sqDCdu3,Bulletproof Maybach (feat. Offset),DDG,0.0754,https://p.scdn.co/mp3-preview/c6e8b56878446aaf6ba9bddc7749f228b19390e0?cid=49789426e6c04428a2befbd3c2d79b02
23pGZ6n6Xd3yV7qK4xw7dx,B.R.O. (Better Ride Out) [feat. Roddy Ricch],A Boogie Wit da Hoodie,0.0398,https://p.scdn.co/mp3-preview/9ee8295408929542997f8f56616afc5dd4b517c5?cid=49789426e6c04428a2befbd3c2d79b02
3d2yowRTcZpQgtkNFmFNiQ,Sphinx,Nora En Pure,0.0803,https://p.scdn.co/mp3-preview/1df6befbe01ca9bc89f3a1639a945c2a7f2c59b8?cid=49789426e6c04428a2befbd3c2d79b02
33JbExJANbupRRmOg7LhS2,A Rope & a Knife,Drics,0.0921,https://p.scdn.co/mp3-preview/8415a47c1167712b702d0360b8621409f1e7e872?cid=49789426e6c04428a2befbd3c2d79b02
0eiLudweyosA5c7EUJ6y0c,Breathe Me In,Harrison,0.0653,https://p.scdn.co/mp3-preview/6a7f9888fb54d705749bb221dfc2bbda9b83d60a?cid=49789426e6c04428a2befbd3c2d79b02
4wmZtoif8SGm7PDqgKrEXr,4 Thangs (feat. Big Sean & Hit-Boy),Freddie Gibbs,0.0547,https://p.scdn.co/mp3-preview/d684213617c6c2407ac993fb22b26aea2cd78d07?cid=49789426e6c04428a2befbd3c2d79b02
4PnNzWe1LJoAMD5j5RHpI0,DEVASTATED,Joey Bada$$,0.0634,https://p.scdn.co/mp3-preview/0c75bb58672a069c467e9df6236dce0f498bb6af?cid=49789426e6c04428a2befbd3c2d79b02
36dH28TepFKh4RelMfRj05,The Break Up Song,The Greg Kihn Band,0.0288,https://p.scdn.co/mp3-preview/c9f7fd4f19f0c3002d4ef96cbf0e054cb8a2e6cc?cid=49789426e6c04428a2befbd3c2d79b02
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,21 Savage,0.00574,https://p.scdn.co/mp3-preview/47a0a844bde0ea1941ecdcfc8f7ddc328afd6d73?cid=49789426e6c04428a2befbd3c2d79b02
6eXKCcEqAU4eJLfDgh8sfG,Get Down Saturday Night,Gorgon Breath,0.00721,https://p.scdn.co/mp3-preview/e687181b49caa4019e149a508ee73b7e5a8ecd91?cid=49789426e6c04428a2befbd3c2d79b02
5oO8yNsKx8uoXT6u8HvCzY,Eleven,La Rochelle Band,0.0235,https://p.scdn.co/mp3-preview/3bf0f52e8def816a7fd917aad01ce8e0a4146566?cid=49789426e6c04428a2befbd3c2d79b02
5u2chFalnZgdgN8K3YKxI0,Yeah Yeah Yeah,Kognitif,0.00372,https://p.scdn.co/mp3-preview/08dae2d53b22880de206da1a487def0a4509f68e?cid=49789426e6c04428a2befbd3c2d79b02
6xVfTx01TnGrzH1mqXfOmf,Pony,Deluxe,0.0485,https://p.scdn.co/mp3-preview/418609f68ccf3f0641c3c9cc1fbff88cd505bfe0?cid=49789426e6c04428a2befbd3c2d79b02
36kaImsnzRzsU6L4cvWP6s,Delight,Jamie Berry,0.0746,https://p.scdn.co/mp3-preview/390899dd62a28e1cc87e17d8e36074c0434786dc?cid=49789426e6c04428a2befbd3c2d79b02
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,0.0236,https://p.scdn.co/mp3-preview/0f6b8a3524ec410020457da4cdd7717f9addce2f?cid=49789426e6c04428a2befbd3c2d79b02
2C0hJUVjp7FSchyhYiceJq,Home Sweet Home,Mötley Crüe,0.097,https://p.scdn.co/mp3-preview/05a15f22954f2fe288c4ebec4279a60df2f23959?cid=49789426e6c04428a2befbd3c2d79b02
5h2nC1QYVpK0AJra70Ja3p,L.A.LOVE (la la) [feat. YG],Fergie,0.0186,https://p.scdn.co/mp3-preview/5dc7928cf5480261df1c3a176859201f85115959?cid=49789426e6c04428a2befbd3c2d79b02
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,0.00296,https://p.scdn.co/mp3-preview/d33396175c666bd21031d96270b4cd015b6f5713?cid=49789426e6c04428a2befbd3c2d79b02
4AYX69oFP3UOS1CFmV9UfO,Bottoms Up (feat. Nicki Minaj),Trey Songz,0.0205,https://p.scdn.co/mp3-preview/a38bab8f52df5621f858e133c43daff6f97ad2ff?cid=49789426e6c04428a2befbd3c2d79b02
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,0.00544,https://p.scdn.co/mp3-preview/862ad595b0c10e822e3cb283e459060919c8ca52?cid=49789426e6c04428a2befbd3c2d79b02
15Wb8YSplqsUHx5OL18Z7l,Hungry (feat. Rick Ross),Fergie,0.0261,https://p.scdn.co/mp3-preview/7bb797841ec50dbaab19957688079b93acd71ff2?cid=49789426e6c04428a2befbd3c2d79b02
1KGi9sZVMeszgZOWivFpxs,No Scrubs,TLC,0.0251,https://p.scdn.co/mp3-preview/87c4c3435b531616e2d642009a18eb711f87be4e?cid=49789426e6c04428a2befbd3c2d79b02
5j0McHPthKpOXRr3fBq8M0,Love in This Club (feat. Young Jeezy),Usher,0.0572,https://p.scdn.co/mp3-preview/19e8a133605d5a9309a5bf8455385a5da4e48715?cid=49789426e6c04428a2befbd3c2d79b02
6AdLyvisRKHLAwARaZMGr6,Take You There,Sean Kingston,0.0182,https://p.scdn.co/mp3-preview/ea724e14a86e599f01f2ed66a60d3a482319c9d7?cid=49789426e6c04428a2befbd3c2d79b02
2mKouqwAIdQnMP43zxR89r,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,0.0219,https://p.scdn.co/mp3-preview/2fd506314ddfbd97f9ef780215c658c3dd680c8b?cid=49789426e6c04428a2befbd3c2d79b02
0DLOyyQvwPTSDKuhpzMMwA,I'm Sprung,T-Pain,0.0948,https://p.scdn.co/mp3-preview/e60173cce7e102098b28cc4bd02272c12cfc998e?cid=49789426e6c04428a2befbd3c2d79b02
5gflgO9EPbIBf16n5TKnQS,Yo Voy (feat. Daddy Yankee),Zion & Lennox,0.041,https://p.scdn.co/mp3-preview/0d6bcbc99daa02a570665e3201ebd0c7c9b7efeb?cid=49789426e6c04428a2befbd3c2d79b02
2Ukr1iULFHGSJp0qPhiqc0,No Me Dejes Solo,Daddy Yankee,0.0772,https://p.scdn.co/mp3-preview/5882a0850af5aa11430b9f49e812dcca459c2e12?cid=49789426e6c04428a2befbd3c2d79b02
1Hu8EMKCGD25srDybGOtBC,Soy una Gargola,Alex Gargolas,0.0843,https://p.scdn.co/mp3-preview/b69761c33726672a5973b44b722bfcfcb796c7c3?cid=49789426e6c04428a2befbd3c2d79b02
0OyHCmkCp2qZJ44ZKB26fX,Si Te Vas / Que Tengo Que Hacer - Original Remix,Omega,0.0645,https://p.scdn.co/mp3-preview/7763a47189c0ccd6a21975e6b4a605cf808591d7?cid=49789426e6c04428a2befbd3c2d79b02
78kygHp1dvW1kncYjBgbe1,Mujeriego,Ryan Castro,0.0628,https://p.scdn.co/mp3-preview/a3ad0f17b956bd294e106ab065ca01ec7ae5584e?cid=49789426e6c04428a2befbd3c2d79b02
1KYspqFoBXRcAs89HSekKM,No Te Veo,Randy,0.0227,https://p.scdn.co/mp3-preview/fef4e0e9949014f71fbf077481e489d2b74ab005?cid=49789426e6c04428a2befbd3c2d79b02
