track_id,track_name,track_artist,preview_url
71f0KeEYTQTMyCA3yJjykv,Flexibility,Ballet L'école,https://p.scdn.co/mp3-preview/d12e3f09318ea7177d30804cb587d3295cf59283?cid=49789426e6c04428a2befbd3c2d79b02
3JjUt7xIN1c7XoghGnPxHA,Dangerous Girl,상승세,https://p.scdn.co/mp3-preview/1620a942fa8184bf3d92469bfbeaab88257e1a1a?cid=49789426e6c04428a2befbd3c2d79b02
4TRbsCRxoavUWb7Nwq41Iw,Feel It - Intro Mix,Guau,https://p.scdn.co/mp3-preview/ba0784516ae265f4299e0e5f0416bf4dd702f821?cid=49789426e6c04428a2befbd3c2d79b02
3tHnZhvjRVxtBSfH88buBe,Danza Invisible,Aera,https://p.scdn.co/mp3-preview/f9db42f9196b3a5aeacbc5aae4bbd7cac7ebabe8?cid=49789426e6c04428a2befbd3c2d79b02
0XWaIA6vQe3EUo8ggoXcay,Adage – Music: Jean,Kimbo Children's Music,https://p.scdn.co/mp3-preview/ec42974b2d8ed4e7ced400043c5388b9e9104d1d?cid=49789426e6c04428a2befbd3c2d79b02
2ciF93WMPn07hjG91QGJMF,"Dancehall Behavior - Live Session, Malibu, CA, 2019",Jam in the Van,https://p.scdn.co/mp3-preview/35a0a79c220760d07cccea24f0a87e32dbe6ead5?cid=49789426e6c04428a2befbd3c2d79b02
0oVQwu33H37s2534noZ7Aa,Dancing,Vanyle,https://p.scdn.co/mp3-preview/fb2517bb752c899f9ecf303a38008506ca2975b3?cid=49789426e6c04428a2befbd3c2d79b02
6pMm3HbfAyflRmHN3Av0QV,You Can Dance,Doug Barr,https://p.scdn.co/mp3-preview/5074e6be84dd284c494173a21f8c0f22fc60a065?cid=49789426e6c04428a2befbd3c2d79b02
59AqWPKbchh1K4ojf8WKFY,Ballet Dancer - Radio Vrs. Edit Cut,Leoni,https://p.scdn.co/mp3-preview/4d1c699e930326af4283a60b12ebffc74d6a8bc3?cid=49789426e6c04428a2befbd3c2d79b02
1JMT9yTzdi4Kwb6IRg2nEo,Dancing Barefoot,Lea DeLaria,https://p.scdn.co/mp3-preview/3eed484dd6e1ba1f179036eedb2b832e24376de8?cid=49789426e6c04428a2befbd3c2d79b02
4kCyhUhJDx4cvBMGRqXaLe,Music for Dancers,Ballet Dance Company,https://p.scdn.co/mp3-preview/995bdc86ffa7c6f601fda5e8d0fb13bff2640f41?cid=49789426e6c04428a2befbd3c2d79b02
1K1TZW3bgl8gN0ZowORF3N,Dance,Dabigyl,https://p.scdn.co/mp3-preview/e756aada7d7046e02986ed9b5cb7da9e6c8c2ea7?cid=49789426e6c04428a2befbd3c2d79b02
7H866bwZuKvQpvNNI228zL,DANCEHALL PRESLEY,GENERAL SKYN,https://p.scdn.co/mp3-preview/54af83763fe2d87102f700793da858615447cb7b?cid=49789426e6c04428a2befbd3c2d79b02
